horizon,mae,rmse,mlpd,cov90
7,72.14285714285714,72.43223433961272,-1143.5632608750789,0.0
7,72.0,74.8178741058197,-1141.2669886051983,0.0
7,96.0,99.2126144053409,-1518.922593588461,0.0
7,142.57142857142858,147.12579651441143,-2251.5727628184472,0.0
7,156.28571428571428,158.39823231336896,-2467.321472110238,0.0
7,133.71428571428572,135.66555516100195,-2112.270121584662,0.0
7,124.28571428571429,125.25402759421124,-1963.9557318288098,0.0
7,84.71428571428571,86.40684496695188,-1341.3700682230676,0.0
7,83.14285714285714,85.8270686571883,-1316.6250524753978,0.0
7,102.0,107.43901924879461,-1613.2908298908546,0.0
7,178.14285714285714,181.97448800783664,-2811.1075798209486,0.0
7,246.14285714285714,254.84364954670878,-3880.5981780356083,0.0
7,356.7142857142857,365.7897522582376,-5619.522393193058,0.0
7,659.0,673.2056573907093,-10373.053742085467,0.0
7,1042.5714285714287,1051.0518540966473,-16404.51885897602,0.0
7,993.0,997.8570610491837,-15625.04837855026,0.0
7,1029.2857142857142,1044.7083666883173,-16195.60250632978,0.0
7,937.0,940.8263085485773,-14744.48884425482,0.0
7,953.2857142857143,960.0597451647029,-15000.56688988308,0.0
7,1117.7142857142858,1131.751613334708,-17586.07352350038,0.0
7,1285.0,1288.1594289084385,-20216.500766660487,0.0
7,1153.5714285714287,1156.197647463443,-18149.90739749536,0.0
7,1290.2857142857142,1297.723721422575,-20299.609608014398,0.0
7,1551.5714285714287,1559.243818558947,-24408.05864660619,0.0
7,1748.142857142857,1756.897874908255,-27498.92212846259,0.0
7,1993.4285714285713,2000.9695507071422,-31355.746325496617,0.0
7,2197.8571428571427,2204.127394555172,-34570.129144011466,0.0
7,2539.714285714286,2563.7156071385366,-39945.37731796835,0.0
7,2494.0,2506.0297569775867,-39226.585270844094,0.0
7,2008.7142857142858,2014.4828120388618,-31596.09628878829,0.0
7,1501.5714285714287,1505.971969004925,-23621.865200608932,0.0
7,1250.5714285714287,1252.4482310373437,-19675.145161244927,0.0
7,1059.7142857142858,1066.4066498560214,-16674.0781669567,0.0
7,926.0,935.2157886972244,-14571.515508285762,0.0
7,764.5714285714286,766.7448821385861,-12033.147815212456,0.0
7,768.8571428571429,773.6905989199706,-12100.535022158696,0.0
7,707.4285714285714,716.5981141078012,-11134.587508142668,0.0
7,716.1428571428571,725.3116571515999,-11271.617911471987,0.0
7,774.5714285714286,791.4603139585892,-12190.374481303357,0.0
7,889.8571428571429,907.958542162424,-14003.175633178678,0.0
7,1163.0,1174.5160097431014,-18298.15482420488,0.0
7,1673.5714285714287,1716.238786249912,-26326.35026545235,0.0
7,1467.4285714285713,1473.3698013155324,-23085.00391774376,0.0
7,1107.0,1114.912616691166,-17417.606042926953,0.0
7,1041.857142857143,1046.1354050572447,-16393.29077824854,0.0
7,894.0,899.4210836500808,-14068.339610238614,0.0
7,785.8571428571429,792.0388698975395,-12367.850685788933,0.0
7,592.1428571428571,600.3631044150342,-9321.742745881249,0.0
7,398.2857142857143,401.0361579708244,-6273.288102527699,0.0
7,257.85714285714283,260.14199419328116,-4064.8583814969747,0.0
7,184.85714285714286,188.17013578142522,-2916.721647830524,0.0
7,139.71428571428572,142.9375488006663,-2206.642870165524,0.0
7,93.14285714285714,93.8813841276016,-1474.0015449644027,0.0
7,73.57142857142857,76.39839190529003,-1166.0108128253182,0.0
7,71.71428571428571,74.4119806022045,-1136.7794010500797,0.0
7,76.71428571428571,78.1637475340802,-1215.4855595582826,0.0
7,99.85714285714286,102.01750550063176,-1579.6241902040658,0.0
7,131.14285714285714,134.9253762005396,-2071.7965664516714,0.0
7,230.28571428571428,236.4747041742218,-3631.211003448683,0.0
7,358.42857142857144,365.41502823110994,-5646.482237712163,0.0
7,452.7142857142857,460.8927671998584,-7129.199416743597,0.0
7,511.14285714285717,521.9039320466117,-8048.002973701529,0.0
7,635.7142857142857,644.4330841910586,-10006.896308265792,0.0
7,711.0,727.5250609331024,-11190.7372187642,0.0
7,735.2857142857143,739.9977799194497,-11572.63826447993,0.0
7,678.0,682.3019859270527,-10671.839472772854,0.0
7,553.5714285714286,561.5370487713675,-8715.20587536471,0.0
7,545.7142857142857,549.6775678262927,-8591.659162107699,0.0
7,569.2857142857143,585.4118208577617,-8962.299859259301,0.0
7,416.42857142857144,418.80254467776507,-6558.598817436251,0.0
7,469.14285714285717,475.51986589115586,-7387.548929186551,0.0
7,571.5714285714286,575.3430032846245,-8998.264718000655,0.0
7,621.8571428571429,629.1791704843928,-9788.998552130932,0.0
7,692.1428571428571,697.2848362449472,-10894.23017586881,0.0
7,896.1428571428571,910.6273347847311,-14102.024656135181,0.0
7,1165.4285714285713,1191.2569592061752,-18336.32733961567,0.0
7,1673.2857142857142,1705.0853769993873,-26321.864335813814,0.0
7,3272.285714285714,3442.430080211195,-51463.99296135445,0.0
7,9241.142857142857,9620.881708925792,-145314.9607509518,0.0
7,15524.42857142857,15765.285929172722,-244109.2839639781,0.0
7,14747.0,15001.061510058928,-231885.513896786,0.0
7,6728.0,6803.898420338572,-105799.87262702886,0.0
7,4397.714285714285,4437.773444291308,-69159.75007363605,0.0
7,3373.0,3407.915009838965,-53047.63058115036,0.0
7,3006.285714285714,3048.6535201157717,-47281.566235311795,0.0
7,2414.1428571428573,2462.5693028681594,-37970.92114745713,0.0
7,1677.2857142857142,1699.0378369620175,-26384.766199005397,0.0
7,1313.857142857143,1337.43865012835,-20670.23516230167,0.0
7,1087.4285714285713,1099.4853341450262,-17109.857351408216,0.0
7,1069.7142857142858,1091.8605353118267,-16831.303972450485,0.0
7,1208.2857142857142,1235.936544834379,-19010.215761150834,0.0
7,1917.142857142857,1964.3470016412941,-30156.221127140838,0.0
7,2837.0,2887.921224687405,-44619.77768211812,0.0
7,3180.714285714286,3222.675352649011,-50024.209060049674,0.0
7,2790.8571428571427,2851.540736414013,-43894.242481283305,0.0
7,2208.285714285714,2268.805727375402,-34734.07865794346,0.0
7,1639.5714285714287,1669.5587526563504,-25791.745310917442,0.0
7,1201.5714285714287,1237.300229185648,-18904.634539085808,0.0
7,856.7142857142857,871.390760303813,-13482.032675479462,0.0
7,587.1428571428571,597.4519705740848,-9243.1128639593,0.0
7,560.0,569.5301321515583,-8816.292486158582,0.0
7,598.2857142857143,612.926469605333,-9418.327180748282,0.0
7,672.2857142857143,684.8553549055868,-10581.96931538759,0.0
7,792.2857142857143,804.7991763699279,-12468.927502222834,0.0
7,1012.1428571428571,1037.3899253139375,-15926.03264825694,0.0
7,1427.5714285714287,1464.6470564610438,-22458.266508788965,0.0
7,1670.5714285714287,1706.2969093499357,-26279.182511626783,0.0
7,1891.857142857143,1924.6663903871013,-29758.644068735022,0.0
7,1838.5714285714287,1878.4174189993023,-28920.786933668052,0.0
7,1462.2857142857142,1487.5889409184438,-23004.123332527004,0.0
7,1152.7142857142858,1174.7920788681836,-18136.41154617294,0.0
7,1036.7142857142858,1053.7533595947123,-16312.410156724505,0.0
7,982.0,1005.709983757033,-15452.06093314721,0.0
7,803.8571428571429,818.1462495876185,-12650.881598538139,0.0
7,719.5714285714286,739.2060412554617,-11325.513199915393,0.0
7,707.8571428571429,726.5449548572831,-11141.312250554227,0.0
7,708.2857142857143,723.8435111068059,-11148.055625845349,0.0
7,795.2857142857143,804.538465741162,-12516.106135825868,0.0
7,866.2857142857143,884.5641380282802,-13632.531834719935,0.0
7,907.2857142857143,920.9176324266388,-14277.238586558831,0.0
7,943.8571428571429,963.8840327401573,-14852.294904711045,0.0
7,866.7142857142857,886.4820520300614,-13639.269847411802,0.0
7,854.2857142857143,875.2792207551338,-13443.834132196178,0.0
7,815.1428571428571,830.8262668658747,-12828.340983857779,0.0
7,754.4285714285714,768.4410006165544,-11873.638864575152,0.0
7,760.5714285714286,776.0714252843337,-11970.231409751093,0.0
7,884.1428571428571,898.0454172415622,-13913.331095638718,0.0
7,1041.7142857142858,1061.7657799291571,-16391.02872178209,0.0
7,1053.7142857142858,1074.7149788266122,-16579.71782887758,0.0
7,1107.2857142857142,1126.6958646540652,-17422.087210656387,0.0
7,1016.5714285714286,1060.9752925627304,-15995.646001225787,0.0
7,855.2857142857143,890.7660427166849,-13459.540787731035,0.0
7,782.4285714285714,808.8426475968168,-12313.908047560331,0.0
7,627.7142857142857,638.8751275260515,-9881.09469480244,0.0
7,519.1428571428571,530.0630690237315,-8173.803583098854,0.0
7,437.85714285714283,445.83645303759414,-6895.562156446942,0.0
7,462.14285714285717,473.9483094178098,-7277.457038487597,0.0
7,517.5714285714286,524.4960846919097,-8149.1019903123815,0.0
7,486.0,493.19541186604147,-7652.632887181162,0.0
7,472.57142857142856,482.1182427579359,-7441.457809258782,0.0
7,461.57142857142856,472.7939750643433,-7268.473618158886,0.0
7,418.7142857142857,428.34715560428987,-6594.523948236419,0.0
7,393.85714285714283,400.87422323859,-6203.632877862475,0.0
7,369.2857142857143,374.91999146484574,-5817.229351198644,0.0
7,360.85714285714283,367.6415179414394,-5684.67735249118,0.0
7,361.14285714285717,367.4984936801005,-5689.171837492241,0.0
7,384.2857142857143,397.8567581429276,-6053.093471412488,0.0
7,353.42857142857144,358.8302423948445,-5567.860727542485,0.0
7,310.42857142857144,318.65767570500213,-4891.620778302383,0.0
7,278.42857142857144,287.54453071282217,-4388.363162036939,0.0
7,230.14285714285714,234.90818875223815,-3628.9727332815587,0.0
7,223.0,227.51734627747146,-3516.6335979448236,0.0
7,197.0,202.74720360939278,-3107.698039021752,0.0
7,193.28571428571428,197.215255857292,-3049.2851602918463,0.0
7,146.85714285714286,149.0349910974888,-2319.010372481245,0.0
7,116.0,119.10499569707393,-1833.5903876973014,0.0
7,92.71428571428571,95.0811683322653,-1467.2396850223238,0.0
7,94.42857142857143,96.27861355758832,-1494.220186148553,0.0
7,91.57142857142857,92.81240680611002,-1449.2707519248827,0.0
7,92.0,94.40338976964757,-1455.9968770386192,0.0
7,94.71428571428571,96.60153799426354,-1498.7113259607654,0.0
7,102.28571428571429,105.63549187113743,-1617.81798758507,0.0
7,133.85714285714286,135.43527710945287,-2114.5173529335584,0.0
7,194.42857142857142,198.11576702235777,-3067.2584711241457,0.0
7,238.42857142857142,242.75413781967018,-3759.288172922528,0.0
7,279.2857142857143,283.47108696101117,-4401.856494794846,0.0
7,348.42857142857144,353.8879968093214,-5489.227865982322,0.0
7,411.14285714285717,419.45474811269656,-6475.462267687405,0.0
7,483.0,489.93454373299414,-7605.456294283942,0.0
7,609.7142857142857,623.2979108855458,-9598.039781302401,0.0
7,703.4285714285714,717.2220218115368,-11071.680184850813,0.0
7,742.7142857142857,768.1288024432212,-11689.419728296416,0.0
7,502.85714285714283,516.2563040085529,-7917.7046878891615,0.0
7,507.57142857142856,517.4957556761767,-7991.841266967424,0.0
7,495.42857142857144,502.02276556233693,-7800.900226105115,0.0
7,477.7142857142857,485.24780120205446,-7522.334877541652,0.0
7,519.7142857142857,527.2080099109703,-8182.799150946791,0.0
7,595.0,604.2914386760273,-9366.667645985199,0.0
7,638.5714285714286,646.017691044802,-10051.827738304415,0.0
7,724.8571428571429,739.6085837406548,-11408.637463741581,0.0
7,774.4285714285714,792.3151429288006,-12188.123875223046,0.0
7,894.5714285714286,915.8221911016819,-14077.305305276765,0.0
7,823.0,844.5004440496168,-12951.883721645516,0.0
7,694.2857142857143,726.250055323332,-10927.88435608866,0.0
7,628.4285714285714,653.6776182273862,-9892.30369687724,0.0
7,461.0,474.10472019827614,-7259.482150197829,0.0
7,310.2857142857143,316.5054727579198,-4889.3779435076085,0.0
7,245.42857142857142,252.0226747168369,-3869.3727526468274,0.0
7,212.0,217.93773684898434,-3343.6207984853927,0.0
7,174.0,177.4566345416737,-2745.9464329346715,0.0
7,164.28571428571428,168.22688760803285,-2593.1467680602473,0.0
7,122.42857142857143,125.98809467564783,-1934.7187078751224,0.0
7,110.57142857142857,112.51920471000241,-1748.1953191286605,0.0
7,77.0,79.04338772381371,-1219.973559250777,0.0
7,63.142857142857146,63.8099857836866,-1001.9144551850715,0.0
7,43.714285714285715,44.558148204661414,-696.0601980855698,0.0
7,45.42857142857143,46.90720322387292,-723.0381683731126,0.0
14,72.07142857142857,73.6347161912873,-1142.4151247401387,0.0
14,84.0,87.86596935918121,-1330.0947910968298,0.0
14,119.28571428571429,125.4773741698934,-1885.2476782034541,0.0
14,149.42857142857142,152.86595435217092,-2359.4471174643427,0.0
14,145.0,147.4705781794166,-2289.79579684745,0.0
14,129.0,130.56361339537574,-2038.1129267067358,0.0
14,104.5,107.59812797096957,-1652.6629000259386,0.0
14,83.92857142857143,86.11744472355346,-1328.9975603492326,0.0
14,92.57142857142857,97.235355122066,-1464.9579411831262,0.0
14,140.07142857142858,149.4286738595661,-2212.1992048559014,0.0
14,212.14285714285714,221.42718893577637,-3345.8528789282786,0.0
14,301.42857142857144,315.2359660408601,-4750.060285614332,0.0
14,507.85714285714283,541.7600945067844,-7996.288067639262,0.0
14,850.7857142857143,882.585932683854,-13388.786300530743,0.0
14,1017.7857142857143,1024.7996668338924,-16014.783618763142,0.0
14,1011.1428571428571,1021.5513412732337,-15910.32544244002,0.0
14,983.1428571428571,994.1251717680511,-15470.045675292304,0.0
14,945.1428571428571,950.491677276255,-14872.527867068953,0.0
14,1035.5,1049.4228005364255,-16293.320206691731,0.0
14,1201.357142857143,1212.4801912962184,-18901.287145080434,0.0
14,1219.2857142857142,1223.9582742654493,-19183.204082077926,0.0
14,1221.9285714285713,1228.9995641054672,-19224.758502754878,0.0
14,1420.9285714285713,1434.4560193427233,-22353.834127310296,0.0
14,1649.857142857143,1661.013459995347,-25953.49038753439,0.0
14,1870.7857142857142,1882.8926264811657,-29427.3342269796,0.0
14,2095.6428571428573,2105.000797420955,-32962.937734754036,0.0
14,2368.785714285714,2390.691875348461,-37257.75323098991,0.0
14,2516.8571428571427,2535.0367706547036,-39585.98129440622,0.0
14,2251.3571428571427,2273.579352349192,-35411.34077981619,0.0
14,1755.142857142857,1778.4955118622836,-27608.980744698612,0.0
14,1376.0714285714287,1385.0231302864843,-21648.505180926928,0.0
14,1155.142857142857,1163.1529809714873,-18174.611664100816,0.0
14,992.8571428571429,1002.9585520562937,-15622.796837621234,0.0
14,845.2857142857143,855.1392534886601,-13302.331661749107,0.0
14,766.7142857142857,770.2255699283351,-12066.841418685572,0.0
14,738.1428571428571,745.6909547527046,-11617.561265150682,0.0
14,711.7857142857143,720.9680496190026,-11203.102709807328,0.0
14,745.3571428571429,759.1068530093206,-11730.996196387672,0.0
14,832.2142857142857,851.7036288689695,-13096.775057241017,0.0
14,1026.4285714285713,1049.7324829280485,-16150.665228691782,0.0
14,1418.2857142857142,1470.5378996427512,-22312.252544828614,0.0
14,1570.5,1599.4208550061398,-24705.677091598052,0.0
14,1287.2142857142858,1306.493152352073,-20251.304980335353,0.0
14,1074.4285714285713,1081.07109585157,-16905.448410587745,0.0
14,967.9285714285714,975.540253251646,-15230.815194243578,0.0
14,839.9285714285714,847.4325510454673,-13218.095148013776,0.0
14,689.0,702.7664720842296,-10844.796715835093,0.0
14,495.2142857142857,510.5222116337629,-7797.515424204475,0.0
14,328.07142857142856,338.01172845247333,-5169.073242012337,0.0
14,221.35714285714286,227.0262728660024,-3490.7900146637485,0.0
14,162.28571428571428,167.09150615327945,-2561.6822589980234,0.0
14,116.42857142857143,120.92323420843726,-1840.322207564963,0.0
14,83.35714285714286,85.58746570447266,-1320.0061788948606,0.0
14,72.64285714285714,75.41172701528969,-1151.395106937699,0.0
14,74.21428571428571,76.3109241384033,-1176.132480304181,0.0
14,88.28571428571429,90.8766825350234,-1397.5548748811743,0.0
14,115.5,119.60858784265571,-1825.7103783278687,0.0
14,180.71428571428572,192.51641859480824,-2851.5037849501778,0.0
14,294.35714285714283,307.77299148189445,-4638.8466205804225,0.0
14,405.57142857142856,415.902804579559,-6387.84082722788,0.0
14,481.92857142857144,492.3443191217185,-7588.6011952225645,0.0
14,573.4285714285714,586.3777427075972,-9027.449640983661,0.0
14,673.3571428571429,687.2360272445393,-10598.816763514993,0.0
14,723.1428571428571,733.7879218723311,-11381.687741622067,0.0
14,706.6428571428571,711.7347519566943,-11122.238868626391,0.0
14,615.7857142857143,624.8439233692111,-9693.522674068783,0.0
14,549.6428571428571,555.6389500900228,-8653.432518736203,0.0
14,557.5,567.8258661647197,-8776.979510683497,0.0
14,492.85714285714283,508.9708102772552,-7760.449338347776,0.0
14,442.7857142857143,448.05954642531293,-6973.0738733114,0.0
14,520.3571428571429,527.7967005797376,-8192.906823593603,0.0
14,596.7142857142857,602.8623391786884,-9393.631635065793,0.0
14,657.0,664.1056284314159,-10341.614363999872,0.0
14,794.1428571428571,811.0019376408067,-12498.127416001995,0.0
14,1030.7857142857142,1060.2677222556306,-16219.175997875427,0.0
14,1419.357142857143,1470.7836832305227,-22329.09583771474,0.0
14,2472.785714285714,2716.3984427914843,-38892.92864858413,0.0
14,6256.714285714285,7225.361226758345,-98389.47685615312,0.0
14,12382.785714285714,13059.58661837568,-194712.1223574649,0.0
14,15135.714285714286,15387.918749089216,-237997.39893038204,0.0
14,10737.5,11647.422035430354,-168842.69326190744,0.0
14,5562.857142857143,5743.991071421632,-87479.81135033246,0.0
14,3885.3571428571427,3956.4957890248575,-61103.690327393204,0.0
14,3189.6428571428573,3233.277980625854,-50164.59840823108,0.0
14,2710.214285714286,2771.149207201126,-42626.24369138446,0.0
14,2045.7142857142858,2115.535055589619,-32177.84367323126,0.0
14,1495.5714285714287,1528.9656167301007,-23527.500680653528,0.0
14,1200.642857142857,1224.2569466531818,-18890.046256854945,0.0
14,1078.5714285714287,1095.679567339701,-16970.580661929354,0.0
14,1139.0,1166.1257589618222,-17920.759866800658,0.0
14,1562.7142857142858,1641.0664650943127,-24583.218444145834,0.0
14,2377.0714285714284,2469.691088259536,-37387.999404629474,0.0
14,3008.8571428571427,3059.879526106496,-47321.99337108388,0.0
14,2985.785714285714,3042.7718448809137,-46959.22577066649,0.0
14,2499.5714285714284,2576.699827298477,-39314.16056961339,0.0
14,1923.9285714285713,1991.8466127117892,-30262.91198443045,0.0
14,1420.5714285714287,1469.411155142475,-22348.18992500162,0.0
